id,title,description,difficulty_level,examples,constraints,test_cases
20,Minimum Cost to Reach Last Cell,"Given a 2D array cost where cost[i][j] denotes the cost of cell (i, j), find the minimum cost to reach the last cell (m-1, n-1) from the first cell (0, 0). You can only move down or right.",Hard,"[{""input"": {""cost"": [[1, 3, 5, 8], [4, 2, 1, 7], [4, 3, 2, 3]]}, ""output"": 8}, {""input"": {""cost"": [[1, 2, 3], [4, 8, 2], [1, 5, 3]]}, ""output"": 8}]","[""1 \u2264 cost[i][j] \u2264 100"", ""1 \u2264 m, n \u2264 100""]","[{""input"": {""cost"": [[1]]}, ""expected_output"": 1}, {""input"": {""cost"": [[1, 3, 5, 8], [4, 2, 1, 7], [4, 3, 2, 3]]}, ""expected_output"": 8}, {""input"": {""cost"": [[1, 2, 3], [4, 8, 2], [1, 5, 3]]}, ""expected_output"": 8}, {""input"": {""cost"": [[5, 1], [4, 6]]}, ""expected_output"": 10}, {""input"": {""cost"": [[10, 5, 2], [1, 1, 1]]}, ""expected_output"": 8}]"
122,Sum of Powers of Primes,"Given an integer n, determine whether it can be expressed as the sum of distinct powers of primes. Return 1 if it can, and 0 otherwise.",Hard,"[{""input"": {""n"": 17}, ""output"": 1}, {""input"": {""n"": 6}, ""output"": 1}]","[""1 <= n <= 10^6""]","[{""input"": {""n"": 26}, ""expected_output"": 1}, {""input"": {""n"": 27}, ""expected_output"": 1}, {""input"": {""n"": 22}, ""expected_output"": 1}, {""input"": {""n"": 23}, ""expected_output"": 1}, {""input"": {""n"": 24}, ""expected_output"": 1}, {""input"": {""n"": 25}, ""expected_output"": 1}, {""input"": {""n"": 17}, ""expected_output"": 1}, {""input"": {""n"": 6}, ""expected_output"": 1}, {""input"": {""n"": 10}, ""expected_output"": 1}, {""input"": {""n"": 7}, ""expected_output"": 1}, {""input"": {""n"": 8}, ""expected_output"": 1}, {""input"": {""n"": 13}, ""expected_output"": 1}, {""input"": {""n"": 14}, ""expected_output"": 1}, {""input"": {""n"": 15}, ""expected_output"": 1}, {""input"": {""n"": 16}, ""expected_output"": 1}, {""input"": {""n"": 9}, ""expected_output"": 1}, {""input"": {""n"": 1}, ""expected_output"": 1}, {""input"": {""n"": 5}, ""expected_output"": 1}, {""input"": {""n"": 11}, ""expected_output"": 1}, {""input"": {""n"": 12}, ""expected_output"": 1}, {""input"": {""n"": 20}, ""expected_output"": 1}, {""input"": {""n"": 21}, ""expected_output"": 1}, {""input"": {""n"": 28}, ""expected_output"": 1}, {""input"": {""n"": 29}, ""expected_output"": 1}, {""input"": {""n"": 30}, ""expected_output"": 1}, {""input"": {""n"": 31}, ""expected_output"": 1}, {""input"": {""n"": 32}, ""expected_output"": 1}, {""input"": {""n"": 33}, ""expected_output"": 1}, {""input"": {""n"": 150}, ""expected_output"": 1}, {""input"": {""n"": 1000}, ""expected_output"": 1}, {""input"": {""n"": 999}, ""expected_output"": 1}, {""input"": {""n"": 1000000}, ""expected_output"": 1}]"
11,Minimum Cost to Connect All Cities,"You are given a list of cities represented as points (x, y) on a 2D plane. You are also given a list of roads that already exist between some cities, represented as pairs of city indices and the cost to build a road between them. Your task is to find the minimum cost to connect all the cities such that there is a path between any two cities. You can build new roads between any two cities, and the cost to build a road between cities i and j is the Manhattan distance between them: |x_i - x_j| + |y_i - y_j|. Return the minimum cost to connect all cities. If the cities are already connected, return 0.",Hard,"[{""input"": {""roads"": [], ""points"": [[0, 0], [1, 1], [1, 0]]}, ""output"": 4}, {""input"": {""roads"": [[0, 1, 1]], ""points"": [[0, 0], [2, 0], [1, 1]]}, ""output"": 3}]","[""1 <= roads[i][2] <= 10^6"", ""0 <= roads[i][0], roads[i][1] < points.length"", ""roads[i].length == 3"", ""0 <= roads.length <= points.length * (points.length - 1) / 2"", ""-10^6 <= points[i][0], points[i][1] <= 10^6"", ""points[i].length == 2"", ""1 <= points.length <= 100""]","[{""input"": {""roads"": [], ""points"": [[0, 0], [1, 1], [1, 0]]}, ""expected_output"": 4}, {""input"": {""roads"": [[0, 1, 1]], ""points"": [[0, 0], [2, 0], [1, 1]]}, ""expected_output"": 3}, {""input"": {""roads"": [[0, 1, 1], [1, 2, 1]], ""points"": [[0, 0], [1, 1], [2, 2]]}, ""expected_output"": 0}, {""input"": {""roads"": [[0, 1, 5]], ""points"": [[0, 0], [1, 1], [2, 2]]}, ""expected_output"": 6}, {""input"": {""roads"": [], ""points"": [[0, 0], [1, 1], [2, 2], [3, 3]]}, ""expected_output"": 9}]"
12,Same Level Sum,"Given a binary tree, determine if the sum of nodes at each level is the same. Return 1 if it is, and 0 otherwise.",    Medium,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": {""val"": 5, ""left"": null, ""right"": null}}, ""right"": {""val"": 3, ""left"": {""val"": 6, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}}, ""output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": {""val"": 6, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}}, ""output"": 0}]","[""-10^5 <= Node.val <= 10^5"", ""The number of nodes in the tree is in the range [1, 10^4].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": {""val"": 5, ""left"": null, ""right"": null}}, ""right"": {""val"": 3, ""left"": {""val"": 6, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": {""val"": 6, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 5, ""left"": {""val"": 4, ""left"": {""val"": 11, ""left"": {""val"": 7, ""left"": null, ""right"": null}, ""right"": {""val"": 2, ""left"": null, ""right"": null}}, ""right"": null}, ""right"": {""val"": 8, ""left"": {""val"": 13, ""left"": null, ""right"": null}, ""right"": {""val"": 4, ""left"": null, ""right"": {""val"": 1, ""left"": null, ""right"": null}}}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 1, ""left"": null, ""right"": null}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 2, ""left"": null, ""right"": null}}}, ""expected_output"": 1}]"
13,Check if Array Can Be Sorted with One Swap,"Given an array of integers, determine if it can be sorted in ascending order by performing at most one swap operation. Return 1 if it can, otherwise return 0.",Medium,"[{""input"": {""arr"": [1, 5, 3, 3, 7]}, ""output"": 1}, {""input"": {""arr"": [1, 3, 5, 2, 4]}, ""output"": 0}]","[""-10^9 \u2264 arr[i] \u2264 10^9"", ""1 \u2264 arr.length \u2264 10^5""]","[{""input"": {""arr"": [1, 5, 3, 3, 7]}, ""expected_output"": 1}, {""input"": {""arr"": [1, 3, 5, 2, 4]}, ""expected_output"": 0}, {""input"": {""arr"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""arr"": [5, 4, 3, 2, 1]}, ""expected_output"": 1}, {""input"": {""arr"": [1, 2, 4, 3, 5, 6]}, ""expected_output"": 1}, {""input"": {""arr"": [1, 5, 3, 4, 2]}, ""expected_output"": 0}, {""input"": {""arr"": [10, 20, 30, 40, 50]}, ""expected_output"": 1}]"
14,Path Existence in a Graph,"Given an undirected graph represented as an adjacency list and two nodes, 'start' and 'end', determine if there is a path between 'start' and 'end'. Return 1 if a path exists, and 0 otherwise.",Medium,"[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [0, 2], ""2"": [0, 1, 3], ""3"": [2]}, ""start"": 0}, ""output"": 1}, {""input"": {""end"": 2, ""graph"": {""0"": [1], ""1"": [0, 2], ""2"": [1]}, ""start"": 0}, ""output"": 1}]","[""0 <= end < number of nodes"", ""0 <= start < number of nodes"", ""The adjacency list will be valid, meaning that if node 'a' has node 'b' in its list, then node 'b' will have node 'a' in its list."", ""The graph will contain at most 100 nodes, labeled from 0 to 99.""]","[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [0, 2], ""2"": [0, 1, 3], ""3"": [2]}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 2, ""graph"": {""0"": [1], ""1"": [0, 2], ""2"": [1]}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 2, ""graph"": {""0"": [1], ""1"": [0]}, ""start"": 0}, ""expected_output"": 0}, {""input"": {""end"": 2, ""graph"": {""0"": [1, 2], ""1"": [0], ""2"": [0]}, ""start"": 1}, ""expected_output"": 1}, {""input"": {""end"": 0, ""graph"": {""0"": []}, ""start"": 0}, ""expected_output"": 1}]"
15,Check if Sorted,"Given an array of integers, determine if the array is sorted in non-decreasing order. Return 1 if it is sorted, and 0 otherwise.",Easy,"[{""input"": {""arr"": [1, 2, 3, 4, 5]}, ""output"": 1}, {""input"": {""arr"": [5, 4, 3, 2, 1]}, ""output"": 0}]","[""-1000 <= arr[i] <= 1000"", ""1 <= arr.length <= 100""]","[{""input"": {""arr"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""arr"": [5, 4, 3, 2, 1]}, ""expected_output"": 0}, {""input"": {""arr"": [1, 2, 2, 3, 4]}, ""expected_output"": 1}, {""input"": {""arr"": [1]}, ""expected_output"": 1}, {""input"": {""arr"": [1, 2, 1, 4]}, ""expected_output"": 0}]"
16,Node Existence in Preorder Traversal,"Given a preorder traversal of a binary tree represented as an array of integers, and a target integer, determine if the target integer exists as a node's value in the tree. Assume the tree is constructed implicitly based on the preorder traversal. Return 1 if the target exists, and 0 otherwise.",Easy,"[{""input"": {""target"": 7, ""preorder"": [10, 5, 2, 1, 7, 12]}, ""output"": 1}, {""input"": {""target"": 6, ""preorder"": [1, 2, 3, 4, 5]}, ""output"": 0}]","[""-1000 \u2264 target \u2264 1000"", ""-1000 \u2264 preorder[i] \u2264 1000"", ""1 \u2264 preorder.length \u2264 100""]","[{""input"": {""target"": 7, ""preorder"": [10, 5, 2, 1, 7, 12]}, ""expected_output"": 1}, {""input"": {""target"": 6, ""preorder"": [1, 2, 3, 4, 5]}, ""expected_output"": 0}, {""input"": {""target"": 1, ""preorder"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""target"": 9, ""preorder"": [5, 3, 1, 4, 7, 6, 8]}, ""expected_output"": 0}, {""input"": {""target"": 100, ""preorder"": [100]}, ""expected_output"": 1}]"
17,Check if Array is Sorted,"Given an array of integers, determine if the array is sorted in non-decreasing order. Return 1 if it is sorted, otherwise return 0.",Easy,"[{""input"": {""nums"": [1, 2, 3, 4, 5]}, ""output"": 1}, {""input"": {""nums"": [5, 4, 3, 2, 1]}, ""output"": 0}]","[""-100 \u2264 nums[i] \u2264 100"", ""1 \u2264 nums.length \u2264 100""]","[{""input"": {""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""nums"": [5, 4, 3, 2, 1]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 2, 3, 4]}, ""expected_output"": 1}, {""input"": {""nums"": [1]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 1, 4, 5]}, ""expected_output"": 0}]"
18,Palindrome Substring Count,"Given a string s, return the number of palindromic substrings in it. Substrings with different start indexes or end indexes are counted as different substrings even if they consist of the same characters.",Medium,"[{""input"": {""s"": ""abc""}, ""output"": 3}, {""input"": {""s"": ""aaa""}, ""output"": 6}]","[""s consists of lowercase English letters."", ""1 <= s.length <= 1000""]","[{""input"": {""s"": ""abc""}, ""expected_output"": 3}, {""input"": {""s"": ""aaa""}, ""expected_output"": 6}, {""input"": {""s"": ""aba""}, ""expected_output"": 4}, {""input"": {""s"": ""aabbbaa""}, ""expected_output"": 13}, {""input"": {""s"": ""racecar""}, ""expected_output"": 7}]"
19,Subarray with Given Sum,"Given an array of non-negative integers nums and an integer target, determine if there is a contiguous subarray that sums to target. Return 1 if such a subarray exists, otherwise return 0.",Medium,"[{""input"": {""nums"": [1, 4, 20, 3, 10, 5], ""target"": 33}, ""output"": 1}, {""input"": {""nums"": [1, 4, 0, 0, 3, 10, 5], ""target"": 7}, ""output"": 1}]","[""0 \u2264 target \u2264 10^9"", ""0 \u2264 nums[i] \u2264 10^4"", ""1 \u2264 nums.length \u2264 10^5""]","[{""input"": {""nums"": [1, 4, 20, 3, 10, 5], ""target"": 33}, ""expected_output"": 1}, {""input"": {""nums"": [1, 4, 0, 0, 3, 10, 5], ""target"": 7}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 12}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 0}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 3, 7, 5], ""target"": 12}, ""expected_output"": 1}]"
21,Find Peak Element,"A peak element in an array is an element that is greater than its neighbors. Given an integer array nums, find a peak element, and return its index. If the array contains multiple peaks, return the index to any of the peaks. You may imagine that nums[-1] = nums[n] = -∞. You must write an algorithm that runs in O(log n) time.",Medium,"[{""input"": {""nums"": [1, 2, 3, 1]}, ""output"": 2}, {""input"": {""nums"": [1, 2, 1, 3, 5, 6, 4]}, ""output"": 5}]","[""nums[i] != nums[i + 1] for all valid i"", ""-1000 <= nums[i] <= 1000"", ""1 <= nums.length <= 1000""]","[{""input"": {""nums"": [1, 2, 3, 1]}, ""expected_output"": 2}, {""input"": {""nums"": [1, 2, 1, 3, 5, 6, 4]}, ""expected_output"": 5}, {""input"": {""nums"": [1]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2]}, ""expected_output"": 1}, {""input"": {""nums"": [2, 1]}, ""expected_output"": 0}]"
22,Search Insert Position,"Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. Return -1 if the array is empty.",Medium,"[{""input"": {""nums"": [1, 3, 5, 6], ""target"": 5}, ""output"": 2}, {""input"": {""nums"": [1, 3, 5, 6], ""target"": 2}, ""output"": 1}]","[""-10^4 <= target <= 10^4"", ""nums contains distinct values sorted in ascending order"", ""-10^4 <= nums[i] <= 10^4"", ""1 <= nums.length <= 10^4""]","[{""input"": {""nums"": [1, 3, 5, 6], ""target"": 5}, ""expected_output"": 2}, {""input"": {""nums"": [1, 3, 5, 6], ""target"": 2}, ""expected_output"": 1}, {""input"": {""nums"": [1, 3, 5, 6], ""target"": 7}, ""expected_output"": 4}, {""input"": {""nums"": [1, 3, 5, 6], ""target"": 0}, ""expected_output"": 0}, {""input"": {""nums"": [1], ""target"": 0}, ""expected_output"": 0}]"
23,Nearly Sorted Array,"Given an array of integers that is nearly sorted, where each element is at most 'k' positions away from its sorted position, determine the minimum number of swaps required to sort the array. Return 0 if the array is already sorted.",Medium,"[{""input"": {""k"": 3, ""nums"": [6, 5, 3, 2, 8, 10, 9]}, ""output"": 2}, {""input"": {""k"": 4, ""nums"": [10, 9, 8, 7, 4, 70, 60, 50]}, ""output"": 4}]","[""1 \u2264 k \u2264 nums.length"", ""0 \u2264 nums[i] \u2264 10^9"", ""1 \u2264 nums.length \u2264 10^5""]","[{""input"": {""k"": 3, ""nums"": [6, 5, 3, 2, 8, 10, 9]}, ""expected_output"": 2}, {""input"": {""k"": 4, ""nums"": [10, 9, 8, 7, 4, 70, 60, 50]}, ""expected_output"": 4}, {""input"": {""k"": 2, ""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 0}, {""input"": {""k"": 4, ""nums"": [5, 4, 3, 2, 1]}, ""expected_output"": 2}, {""input"": {""k"": 1, ""nums"": [1, 3, 2, 4, 5]}, ""expected_output"": 1}]"
